"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hez2tp-0 12","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hez2tp-0 17","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 18","sc-1hez2tp-0 19","sc-s1isp7-5 src 16","sc-1hez2tp-0 20","sc-s1isp7-5 src 17","sc-1hez2tp-0 21","sc-s1isp7-5 src 18","sc-1hez2tp-0 22","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-jGFFOr href","sc-jGFFOr href 2","sc-jGFFOr href 3","sc-1q7bklc-1 4"
"star-fill","star-fill","star-fill","Pro extra 10% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","35 min","https://www.zomato.com/mumbai/powai-restaurants","Burger, Fast Food, Street Food, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","15600+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","15600+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","34 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, South Indian, Street Food, Desserts, Beverages, Healthy Food","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","4050+ orders placed from here recently","Burger King","3.9","Dabba Garam","4.1","50% OFF up to 100","42 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Pizza, Italian, Desserts, Shake, Beverages","₹200 for one","8750+ orders placed from here recently","Starboy Pizza & Shakes","3.6","Follows all Max Safety measures to ensure your food is safe","8750+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","4050+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/burger-king-marol/order","https://www.zomato.com/mumbai/dabba-garam-powai/order","https://www.zomato.com/mumbai/starboy-pizza-shakes-marol/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","24 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Asian, Momos, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","2600+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2600+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","22 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Fast Food, Street Food","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","9200+ orders placed from here recently","Chinese Wok","3.6","R Bhagat Tarrachand","3.9","50% OFF up to 100","23 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, South Indian, Street Food, Fast Food, Ice Cream, Desserts, Beverages","₹200 for one","3125+ orders placed from here recently","Hotel Laxmi Next","4.1","Restaurant partner follows WHO protocol","3125+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","9200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/chinese-wok-powai/order","https://www.zomato.com/mumbai/r-bhagat-tarrachand-1-powai/order","https://www.zomato.com/mumbai/hotel-laxmi-next-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","44 min","https://www.zomato.com/mumbai/powai-restaurants","Pizza, Fast Food","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","2225+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2225+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","26 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Biryani, Chinese, Mughlai, Rolls","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","5650+ orders placed from here recently","Pizza Mania","3.6","Dum & Curry","4.2","50% OFF up to 100","23 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Bakery, Desserts, Beverages","₹300 for one","7325+ orders placed from here recently","Theobroma","4.2","Follows all Max Safety measures to ensure your food is safe","7325+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","5650+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/pizza-mania-marol/order","https://www.zomato.com/mumbai/dum-curry-powai/order","https://www.zomato.com/mumbai/theobroma-vikhroli/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","33 min","https://www.zomato.com/mumbai/powai-restaurants","Desserts, Waffle, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","2775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","22 min","https://www.zomato.com/mumbai/powai-restaurants","Rolls, North Indian, Beverages, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","4025+ orders placed from here recently","Mad Over Donuts","3.6","Tibb's Frankie - Serving Rolls Since 1969","4.1","50% OFF up to 100","28 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","South Indian, Beverages","₹300 for one","4725+ orders placed from here recently","Thambbi","4.0","Follows all Max Safety measures to ensure your food is safe","4725+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","4025+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/mad-over-donuts-sakinaka/order","https://www.zomato.com/mumbai/tibbs-frankie-serving-rolls-since-1969-powai/order","https://www.zomato.com/mumbai/thambbi-chandivali/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","24 min","https://www.zomato.com/mumbai/powai-restaurants","Tea, Cafe, Fast Food","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","5025+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","5025+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","31 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Fast Food, Beverages, Desserts, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","3300+ orders placed from here recently","Chaayos Chai+Snacks=Relax","3.9","Sadak Chaap - Tandoori Chaaps & Snackss","4.1","50% OFF up to 100","19 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Ice Cream, Desserts, Beverages","₹300 for one","3175+ orders placed from here recently","Natural Ice Cream","4.3","Restaurant partner follows WHO protocol","3175+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","3300+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/chaayos-chai-snacks-relax-powai/order","https://www.zomato.com/mumbai/sadak-chaap-tandoori-chaaps-snackss-vikhroli/order","https://www.zomato.com/mumbai/natural-ice-cream-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","30 min","https://www.zomato.com/mumbai/powai-restaurants","Pizza, Fast Food, Italian","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","1775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","18 min","https://www.zomato.com/mumbai/powai-restaurants","Cafe, Beverages, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","1750+ orders placed from here recently","Sbarro - New York Pizza","3.6","Starbucks Coffee","4.2","50% OFF up to 100","32 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Sandwich, Fast Food, Beverages","₹300 for one","3075+ orders placed from here recently","Sandwizzaa","4.3","Follows all Max Safety measures to ensure your food is safe","3075+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/sbarro-new-york-pizza-vikhroli/order","https://www.zomato.com/mumbai/starbucks-coffee-1-powai/order","https://www.zomato.com/mumbai/sandwizzaa-vikhroli/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","22 min","https://www.zomato.com/mumbai/powai-restaurants","Salad, Street Food, Fast Food","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","3150+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","3150+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","24 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Momos","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","1125+ orders placed from here recently","Nothing But Chicken","3.8","Big Bowl","3.6","50% OFF up to 100","22 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Mithai, Street Food, Fast Food, Desserts","₹200 for one","2925+ orders placed from here recently","Brijwasi Sweets Original Since 1946","4.2","Follows all Max Safety measures to ensure your food is safe","2925+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","1125+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/nothing-but-chicken-powai/order","https://www.zomato.com/mumbai/big-bowl-powai/order","https://www.zomato.com/brijwasisweetspowai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","27 min","https://www.zomato.com/mumbai/powai-restaurants","Kerala, South Indian, Arabian, Chinese, Biryani, Seafood","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","7475+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","7475+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","21 min","https://www.zomato.com/mumbai/powai-restaurants","Biryani, Kebab, Hyderabadi, Lucknowi","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","","1550+ orders placed from here recently","MTK - Mumbai Travancore Kitchen","3.9","Behrouz Biryani","4.0","50% OFF up to 100","18 min","","","Bakery, Desserts","₹200 for one","700+ orders placed from here recently","Ribbons And Balloons","4.2","","","","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1550+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/mtk-mumbai-travancore-kitchen-powai/order","https://www.zomato.com/mumbai/behrouz-biryani-marol/order","https://www.zomato.com/mumbai/ribbons-and-balloons-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","43 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","5650+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","5650+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","28 min","https://www.zomato.com/mumbai/powai-restaurants","Rolls, Fast Food, Wraps, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","1425+ orders placed from here recently","Veg Sutra","4.0","Faasos - Wraps & Rolls","4.1","50% OFF up to 100","41 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Biryani, North Indian, Chinese, Mughlai, Kebab, Parsi, Seafood, Desserts","₹200 for one","12200+ orders placed from here recently","Persian Darbar","4.0","Follows all Max Safety measures to ensure your food is safe","12200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1425+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/veg-sutra-mahakali/order","https://www.zomato.com/mumbai/faasos-wraps-rolls-1-marol/order","https://www.zomato.com/mumbai/persian-darbar-marol/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","20 min","https://www.zomato.com/mumbai/powai-restaurants","Ice Cream, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","975+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","975+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","69 min","https://www.zomato.com/mumbai/powai-restaurants","Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","2975+ orders placed from here recently","Baskin Robbins","4.3","Biryani By Kilo","4.1","50% OFF up to 100","35 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Bakery, Desserts","₹200 for one","3950+ orders placed from here recently","Jeden - The Cake Expert","4.2","Follows all Max Safety measures to ensure your food is safe","3950+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2975+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/baskin-robbins-1-powai/order","https://www.zomato.com/mumbai/biryani-by-kilo-sakinaka/order","https://www.zomato.com/mumbai/jeden-the-cake-expert-marol/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","31 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Pasta, Italian","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","28 min","https://www.zomato.com/mumbai/powai-restaurants","Biryani, North Indian, Mughlai, Rolls","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","825+ orders placed from here recently","The Good Bowl","3.9","Go Biryan","3.8","50% OFF up to 100","53 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Biryani, Street Food, Fast Food, Sichuan","₹200 for one","2425+ orders placed from here recently","Paratha World","3.9","Follows all Max Safety measures to ensure your food is safe","2425+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","825+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/the-good-bowl-marol/order","https://www.zomato.com/mumbai/go-biryan-powai/order","https://www.zomato.com/mumbai/paratha-world-near-andheri-east-station/order",""
"star-fill","star-fill","star-fill","Pro extra 20% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","36 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Mughlai, Biryani, Kebab, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","1150+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1150+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","24 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Asian, Seafood, Thai, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","2950+ orders placed from here recently","Decent Restaurant","3.7","China Valley","4.1","50% OFF up to 100","28 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Biryani, Chinese, Thai, Kebab, Rolls, Sichuan","₹200 for one","1400+ orders placed from here recently","Biryani Culture","4.1","Follows all Max Safety measures to ensure your food is safe","1400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2950+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/decent-restaurant-vikhroli/order","https://www.zomato.com/mumbai/china-valley-powai/order","https://www.zomato.com/mumbai/biryani-culture-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","23 min","https://www.zomato.com/mumbai/powai-restaurants","South Indian, Kerala","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","2500+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2500+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","31 min","https://www.zomato.com/mumbai/powai-restaurants","Italian, Pizza, Seafood, Continental, Beverages, Salad, Pasta, Shake","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","1300+ orders placed from here recently","Malini's Health Kitchen","4.0","Mia Cucina","4.0","50% OFF up to 100","49 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Bakery, Desserts, Fast Food, Rolls, Pizza","₹200 for one","11550+ orders placed from here recently","Merwans Cake Stop","4.3","Restaurant partner follows WHO protocol","11550+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/malinis-health-kitchen-vikhroli/order","https://www.zomato.com/mumbai/mia-cucina-powai/order","https://www.zomato.com/mumbai/merwans-cake-stop-near-andheri-west-station/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","42 min","","Pizza, Italian, Pasta, Fast Food, Beverages, Desserts","","₹200 for one","","2000+ orders placed from here recently","","","https://www.zomato.com/mumbai/powai-restaurants","","https://www.zomato.com/mumbai/powai-restaurants","26 min","https://www.zomato.com/mumbai/powai-restaurants","Waffle, Pancake, Ice Cream, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","","4100+ orders placed from here recently","La Pino'z Pizza","3.7","The Belgian Waffle Co.","4.1","50% OFF up to 100","27 min","","","Chinese, Fast Food, Momos, Seafood, Beverages, Desserts","₹200 for one","5250+ orders placed from here recently","Meraki","3.9","","","","20% OFF","","","","","","","https://www.zomato.com/mumbai/la-pinoz-pizza-sakinaka/order","https://www.zomato.com/mumbai/the-belgian-waffle-co-2-powai/order","https://www.zomato.com/mumbai/meraki-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","28 min","https://www.zomato.com/mumbai/powai-restaurants","Momos, Fast Food","https://www.zomato.com/mumbai/powai-restaurants","₹250 for one","https://www.zomato.com/mumbai/powai-restaurants","1400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","36 min","https://www.zomato.com/mumbai/powai-restaurants","Burger, Fast Food","https://www.zomato.com/mumbai/powai-restaurants","₹250 for one","https://www.zomato.com/mumbai/powai-restaurants","200+ orders placed from here recently","WOW! Momo","4.0","Jumboking Indian Burger","4.3","50% OFF up to 100","40 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Biryani, Mughlai, Beverages","₹250 for one","9475+ orders placed from here recently","Punjab Depot","3.7","Follows all Max Safety measures to ensure your food is safe","9475+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/wow-momo-powai/order","https://www.zomato.com/mumbai/jumboking-indian-burger-2-marol/order","https://www.zomato.com/mumbai/punjab-depot-marol/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","62 min","https://www.zomato.com/mumbai/powai-restaurants","Biryani, North Indian, Mughlai, Rolls, Chinese, Shake, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹250 for one","https://www.zomato.com/mumbai/powai-restaurants","5400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","5400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","31 min","https://www.zomato.com/mumbai/powai-restaurants","Pizza, Fast Food","https://www.zomato.com/mumbai/powai-restaurants","₹250 for one","https://www.zomato.com/mumbai/powai-restaurants","750+ orders placed from here recently","Borivali Biryani Centre","3.8","Ovenstory Pizza","4.2","At ₹149 only","37 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Ice Cream, Desserts","₹250 for one","2650+ orders placed from here recently","NIC Ice Creams","4.4","Restaurant partner follows WHO protocol","2650+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","750+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/borivali-biryani-centre-juhu/order","https://www.zomato.com/mumbai/ovenstory-pizza-marol/order","https://www.zomato.com/mumbai/nic-ice-creams-ghatkopar-east/order",""
